"Location_Id","Sensor_Eui","Validity_Start","Validity_End","Location","St_X","St_Y","Altitude_Masl","Roomname","Mazemap_Floor","Last_Changed"
"88","a8:17:58:ff:fe:04:81:67","-infinity","infinity","0101000020E61000005BC1E7FD2D6C1B408172AAD09B1E4A40","6.855644194860669","52.2391300995123","None","RA3112","3","2023-06-13 14:23:09.618887+02:00"
"89","a8:17:58:ff:fe:04:81:68","-infinity","infinity","0101000020E6100000103550A0CD6B1B404CB103DD9F1E4A40","6.855276589293922","52.23925364189435","None","RA3411","3","2023-06-13 14:23:16.854161+02:00"
"90","a8:17:58:ff:fe:04:81:69","-infinity","infinity","0101000020E6100000103550A0CD6B1B404CB103DD9F1E4A40","6.855276589293922","52.23925364189435","None","RA3411","3","2023-06-13 14:23:17.346785+02:00"
"91","a8:17:58:ff:fe:04:81:6a","-infinity","infinity","0101000020E61000008E80599CCA6B1B4068EF93B7A81E4A40","6.855265086138514","52.239523837312674","None","RA3334","3","2023-06-13 14:23:15.065860+02:00"
"92","a8:17:58:ff:fe:04:81:6b","-infinity","infinity","0101000020E6100000103550A0CD6B1B404CB103DD9F1E4A40","6.855276589293922","52.23925364189435","None","RA3411","3","2023-06-13 14:23:17.825692+02:00"
"93","a8:17:58:ff:fe:04:81:6d","-infinity","infinity","0101000020E6100000BF9F1A6ECE6B1B409AFA3098A01E4A40","6.855279655814171","52.239275955119595","None","RA4411","4","2023-06-13 14:26:57.820906+02:00"
"94","a8:17:58:ff:fe:04:81:6e","-infinity","infinity","0101000020E6100000670671F92D6C1B40399689D09B1E4A40","6.855644128345012","52.23913008421045","None","RA5110","5","2023-06-13 14:27:02.846290+02:00"
"95","a8:17:58:ff:fe:04:d1:f3","-infinity","infinity","0101000020E61000001C84EFF42D6C1B4024BD1DD19B1E4A40","6.855644061201954","52.23913015319911","None","RA2209","2","2023-06-13 14:22:44.711914+02:00"
"96","a8:17:58:ff:fe:04:15:f3","-infinity","infinity","0101000020E6100000A591FB19A2701B40EB5C0FE8841E4A40","6.8599933681293","52.23843098402161","None","HCN100","1","2023-06-13 13:44:01.472705+02:00"
"97","a8:17:58:ff:fe:04:15:f5","-infinity","infinity","0101000020E6100000F8C71B3144701B40FD1EF223841E4A40","6.8596351311880355","52.23840760538403","None","HCWH111","1","2023-06-13 14:22:03.910261+02:00"
"98","a8:17:58:ff:fe:04:15:f6","-infinity","infinity","0101000020E6100000678B945930701B40023020AC851E4A40","6.8595594403185265","52.238454356876915","None","HCWH113","1","2023-06-13 14:22:09.957684+02:00"
"99","a8:17:58:ff:fe:04:15:f7","-infinity","infinity","0101000020E6100000005ACDFF93701B40E43A648D8C1E4A40","6.859939572247185","52.23866431612058","None","HCWH116","1","2023-06-13 14:30:06.703861+02:00"
"100","a8:17:58:ff:fe:03:62:ce","-infinity","infinity","0101000020E610000060CC738A3B6C1B407485A360AB1E4A40","6.855695880239267","52.23960502609671","None","UNKN01","1","2024-05-31 11:41:32.490109+02:00"
"101","a8:17:58:ff:fe:04:ba:1a","-infinity","infinity","None","None","None","None","UNKN02","0","2022-12-02 11:18:50.130574+01:00"
"102","a8:17:58:ff:fe:04:ba:1b","-infinity","infinity","None","None","None","None","UNKN03","0","2022-12-02 11:18:50.132322+01:00"
"103","a8:17:58:ff:fe:04:ba:1c","-infinity","infinity","None","None","None","None","UNKN04","0","2022-12-02 11:18:50.134213+01:00"
"104","a8:17:58:ff:fe:04:ba:1d","-infinity","infinity","None","None","None","None","UNKN05","0","2022-12-02 11:18:50.135978+01:00"
"105","a8:17:58:ff:fe:04:ba:1e","-infinity","infinity","None","None","None","None","UNKN06","0","2022-12-02 11:18:50.137858+01:00"
"106","a8:17:58:ff:fe:04:ba:1f","-infinity","infinity","None","None","None","None","UNKN07","0","2022-12-02 11:18:50.139702+01:00"
"107","a8:17:58:ff:fe:04:ba:20","-infinity","infinity","None","None","None","None","UNKN08","0","2022-12-02 11:18:50.141577+01:00"
"108","a8:17:58:ff:fe:04:ba:21","-infinity","infinity","None","None","None","None","UNKN09","0","2022-12-02 11:18:50.143378+01:00"
"109","33:34:37:39:72:37:90:08","-infinity","infinity","0101000020E6100000138E630A246C1B402586BC929A1E4A40","6.855606233908037","52.239092199375854","None","RA5108","5","2023-06-13 14:27:01.840312+02:00"
"110","35:34:31:36:51:37:8b:05","-infinity","infinity","None","None","None","None","UNKN10","0","2022-12-02 11:18:50.146703+01:00"
"111","35:34:31:36:54:37:7a:04","-infinity","infinity","0101000020E6100000244C22EFCC6B1B40486E8F219F1E4A40","6.855273949116086","52.239231295618595","None","RA4409","4","2023-06-13 14:26:57.216670+02:00"
"112","35:34:31:36:56:37:8b:05","-infinity","infinity","0101000020E6100000A9595B0F246C1B40629ED2929A1E4A40","6.855606307936264","52.23909220966449","None","RA3106","3","2023-06-13 14:23:08.452077+02:00"
"113","35:34:31:36:5a:37:7a:04","-infinity","infinity","0101000020E6100000AFF6ED05246C1B4058532D939A1E4A40","6.8556061674586735","52.23909225190317","None","RA2207","2","2023-06-13 14:22:41.751572+02:00"
"114","35:34:31:36:5b:37:6f:04","-infinity","infinity","0101000020E61000000FE3EA82D96B1B40A41D8690AB1E4A40","6.855321927629816","52.2396107344496","None","RA1342","1","2023-06-13 14:22:17.501547+02:00"
"115","35:34:31:36:5c:37:69:04","-infinity","infinity","0101000020E6100000103550A0CD6B1B404CB103DD9F1E4A40","6.855276589293922","52.23925364189435","None","RA3411","3","2023-06-13 14:23:15.922258+02:00"
"116","35:34:31:36:5c:37:6f:04","-infinity","infinity","0101000020E6100000226F5E93376C1B4044830EE1AA1E4A40","6.855680754317094","52.23958981712943","None","RA2502","2","2023-06-13 14:22:57.762182+02:00"
"117","35:34:31:36:5c:37:7a:04","-infinity","infinity","0101000020E610000001982D148D6C1B404B790DB8A71E4A40","6.856006922991583","52.23949337633038","None","RA1247","1","2023-06-13 14:22:12.688669+02:00"
"118","35:34:31:36:5d:37:6f:04","-infinity","infinity","0101000020E61000007C23F31B246C1B408BF915939A1E4A40","6.8556064955854445","52.23909224102962","None","RA4108","4","2023-06-13 14:26:47.528677+02:00"
"119","35:34:31:36:65:37:83:04","-infinity","infinity","0101000020E6100000670671F92D6C1B40399689D09B1E4A40","6.855644128345012","52.23913008421045","None","RA5110","5","2023-06-13 14:27:02.397614+02:00"
"120","35:34:31:36:65:37:87:05","-infinity","infinity","0101000020E6100000103550A0CD6B1B404CB103DD9F1E4A40","6.855276589293922","52.23925364189435","None","RA3411","3","2023-06-13 14:23:16.401823+02:00"
"121","35:34:31:36:6b:37:7a:04","-infinity","infinity","0101000020E6100000E321F9929C6C1B40CB131AA3A91E4A40","6.856066032844384","52.23955191396052","None","RA4253","4","2023-06-13 14:26:55.281545+02:00"
"122","35:34:31:36:6b:37:8a:04","-infinity","infinity","0101000020E610000071274D218D6C1B4005C14FB5A71E4A40","6.85600711854373","52.239493049566626","None","RA3247","3","2023-06-13 14:23:13.147702+02:00"
"123","35:34:31:36:6b:37:8c:05","-infinity","infinity","0101000020E6100000208931199C6C1B4045C2ED98A91E4A40","6.856064218185821","52.239550701230236","None","RA1255","1","2023-06-13 14:22:13.831871+02:00"
"124","35:34:31:36:6b:37:92:05","-infinity","infinity","0101000020E6100000C1D400269C6C1B404E23ED97A91E4A40","6.8560644090659375","52.23955058173179","None","RA2253","2","2023-06-13 14:22:52.864867+02:00"
"125","35:34:31:36:70:37:71:04","-infinity","infinity","0101000020E610000025FF8B24836C1B4063AB0F75A61E4A40","6.855969019932478","52.2394548727523","None","RA4245","4","2023-06-13 14:26:52.631875+02:00"
"126","35:34:31:36:71:37:81:04","-infinity","infinity","0101000020E61000008C14BA1F836C1B4090209F74A61E4A40","6.855968948109091","52.23945482034571","None","RA5146","5","2023-06-13 14:27:03.400878+02:00"
"127","35:34:31:36:7b:37:6e:04","-infinity","infinity","0101000020E61000008E80599CCA6B1B4068EF93B7A81E4A40","6.855265086138514","52.239523837312674","None","RA3334","3","2023-06-13 14:23:14.632878+02:00"
"128","35:31:31:39:55:37:6d:0b","-infinity","infinity","0101000020E610000000000000B36B1B40000000E0A11E4A40","6.855175018310547","52.239315032958984","None","RA1410-1-1","1","2022-12-02 11:18:50.177558+01:00"
"129","35:31:31:39:6f:37:7d:0f","-infinity","infinity","0101000020E6100000C0718767B76B1B4040E347D8A11E4A40","6.85519181980311","52.239314112759985","None","RA1410-1-2","1","2024-05-31 11:35:33.883997+02:00"
"130","35:31:31:39:60:37:71:0a","-infinity","infinity","0101000020E610000000157BFBBB6B1B40007F49D5A11E4A40","6.855209283244449","52.239313755881085","None","RA1410-1-3","1","2022-12-02 11:18:50.180805+01:00"
"131","35:31:31:39:81:37:7d:0f","-infinity","infinity","0101000020E6100000000000A0B26B1B40000000A0A11E4A40","6.855173587799072","52.23930740356445","None","RA1410-2-1","1","2022-12-02 11:18:50.182495+01:00"
"132","35:31:31:39:72:37:81:0f","-infinity","infinity","0101000020E61000006082B590B76B1B40CC771696A11E4A40","6.855192433432052","52.239306221934015","None","RA1410-2-2","1","2022-12-02 11:18:50.184095+01:00"
"133","35:31:31:39:66:37:82:0f","-infinity","infinity","0101000020E6100000406DA2C5BB6B1B4068989790A11E4A40","6.855208480871909","52.2393055668079","None","RA1410-2-3","1","2022-12-02 11:18:50.185704+01:00"
"134","35:31:31:39:50:37:82:0f","-infinity","infinity","0101000020E6100000000000C0B16B1B40000000E0A01E4A40","6.855170249938965","52.23928451538086","None","RA1410-3-1","1","2022-12-02 11:18:50.187327+01:00"
"135","35:31:31:39:78:37:83:0f","-infinity","infinity","0101000020E610000020329191B66B1B40B49184D9A01E4A40","6.855188631522225","52.239283742648155","None","RA1410-3-2","1","2022-12-02 11:18:50.188862+01:00"
"136","35:31:31:39:5c:37:7c:0f","-infinity","infinity","0101000020E6100000E013A01EBB6B1B40901A69D1A01E4A40","6.8552059922412525","52.23928277618427","None","RA1410-3-3","1","2022-12-02 11:18:50.190551+01:00"
"137","35:31:31:39:5f:37:7c:0f","-infinity","infinity","0101000020E6100000000000A0B16B1B40000000A0A01E4A40","6.855169773101807","52.23927688598633","None","RA1410-4-1","1","2022-12-02 11:18:50.192143+01:00"
"138","35:31:31:39:65:37:81:0a","-infinity","infinity","0101000020E61000006061E434B66B1B403C26B39BA01E4A40","6.855187250556213","52.2392763733628","None","RA1410-4-2","1","2022-12-02 11:18:50.193732+01:00"
"139","35:31:31:39:78:37:7f:0f","-infinity","infinity","0101000020E6100000C0C66DDCBA6B1B40F48C9E95A01E4A40","6.8552050058366945","52.23927564851502","None","RA1410-4-3","1","2022-12-02 11:18:50.195390+01:00"
"140","35:31:31:39:76:37:7d:0f","-infinity","infinity","0101000020E6100000000000C0B06B1B40000000E09F1E4A40","6.855166435241699","52.239253997802734","None","RA1410-5-1","1","2022-12-02 11:18:50.197029+01:00"
"141","35:31:31:39:7a:37:71:0a","-infinity","infinity","0101000020E6100000C09056C6B56B1B4034FA5CE59F1E4A40","6.855185603173766","52.23925463714514","None","RA1410-5-2","1","2024-05-31 11:35:18.243883+02:00"
"142","35:31:31:39:54:37:74:0b","-infinity","infinity","0101000020E6100000000000C0BA6B1B40000000E09F1E4A40","6.8552045822143555","52.239253997802734","None","RA1410-5-3","1","2022-12-02 11:18:50.200363+01:00"
"143","35:31:31:39:5e:37:82:0f","-infinity","infinity","0101000020E610000000000080B06B1B40000000809F1E4A40","6.855165481567383","52.23924255371094","None","RA1410-6-1","1","2022-12-02 11:18:50.202096+01:00"
"144","35:31:31:39:68:37:7b:0a","-infinity","infinity","0101000020E6100000000000A0B56B1B40000000809F1E4A40","6.855185031890869","52.23924255371094","None","RA1410-6-2","1","2022-12-02 11:18:50.203752+01:00"
"145","35:31:31:39:71:37:82:0f","-infinity","infinity","0101000020E610000020FF3742BA6B1B40BCC0B2819F1E4A40","6.855202707927475","52.23924275615852","None","RA1410-6-3","1","2022-12-02 11:18:50.205363+01:00"
"146","35:31:31:39:4a:37:71:0a","-infinity","infinity","0101000020E6100000000000A0AF6B1B40000000A09E1E4A40","6.855162143707275","52.23921585083008","None","RA1410-7-1","1","2022-12-02 11:18:50.207030+01:00"
"147","35:31:31:39:50:37:86:0f","-infinity","infinity","0101000020E6100000000000A0B46B1B40000000A09E1E4A40","6.8551812171936035","52.23921585083008","None","RA1410-7-2","1","2022-12-02 11:18:50.208671+01:00"
"148","35:31:31:39:4f:37:7f:0f","-infinity","infinity","0101000020E610000000000000B96B1B40000000A09E1E4A40","6.855197906494141","52.23921585083008","None","RA1410-7-3","1","2022-12-02 11:18:50.210363+01:00"
"149","35:31:31:39:5c:37:8e:0a","-infinity","infinity","0101000020E610000000000060AF6B1B40000000409E1E4A40","6.855161190032959","52.23920440673828","None","RA1410-8-1","1","2022-12-02 11:18:50.211888+01:00"
"150","35:31:31:39:6a:37:83:0f","-infinity","infinity","0101000020E6100000000000E0B36B1B40000000409E1E4A40","6.855178356170654","52.23920440673828","None","RA1410-8-2","1","2022-12-02 11:18:50.213377+01:00"
"151","35:31:31:39:72:37:87:0f","-infinity","infinity","0101000020E6100000000000C0B86B1B40000000409E1E4A40","6.855196952819824","52.23920440673828","None","RA1410-8-3","1","2022-12-02 11:18:50.214914+01:00"
"158","33:34:37:39:78:37:7b:09","-infinity","infinity","None","None","None","None","None","None","2023-05-30 11:22:11.883859+02:00"
"172","33:34:37:39:59:37:79:09","-infinity","infinity","None","None","None","None","None","None","2023-05-30 11:22:11.901154+02:00"
"205","a8:17:58:ff:fe:03:62:ab","-infinity","infinity","None","None","None","None","None","None","2023-05-30 11:22:11.992820+02:00"
"212","a8:17:58:ff:fe:03:62:b2","-infinity","infinity","None","None","None","None","None","None","2023-05-30 11:22:12.003449+02:00"
"222","a8:17:58:ff:fe:03:62:ad","-infinity","infinity","None","None","None","None","None","None","2023-05-30 11:22:12.016782+02:00"
"230","35:31:31:39:61:37:83:0f","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:33.673484+02:00"
"232","35:31:31:39:7d:37:81:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:42.284955+02:00"
"233","35:31:31:39:56:37:81:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:28.251822+02:00"
"234","35:31:31:39:5e:37:80:0f","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:31.048646+02:00"
"235","35:31:31:39:6f:37:74:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:39.602372+02:00"
"236","35:31:31:39:6f:37:85:0a","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:39.889208+02:00"
"237","35:31:31:39:5b:37:7f:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:30.126840+02:00"
"238","35:31:31:39:61:37:6a:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:33.167158+02:00"
"239","35:31:31:39:63:37:80:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:34.180854+02:00"
"241","35:31:31:39:4a:37:78:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:23.924051+02:00"
"242","35:31:31:39:6b:37:70:0a","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:36.461621+02:00"
"243","31:35:34:30:72:37:91:11","-infinity","infinity","None","None","None","None","None","None","2023-05-30 11:22:12.044251+02:00"
"244","35:31:31:39:51:37:81:0f","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:26.692193+02:00"
"246","35:31:31:39:4d:37:81:0f","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:24.806554+02:00"
"248","35:31:31:39:53:37:85:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:27.445960+02:00"
"250","35:31:31:39:6e:37:7d:0f","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:38.680985+02:00"
"251","35:31:31:39:5f:37:91:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:32.030417+02:00"
"252","31:35:34:30:55:37:6a:11","-infinity","infinity","None","None","None","None","None","None","2023-05-30 11:22:12.055402+02:00"
"253","35:31:31:39:60:37:85:0f","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:32.939072+02:00"
"254","35:31:31:39:6e:37:79:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:38.415921+02:00"
"255","31:35:34:30:72:37:67:11","-infinity","infinity","None","None","None","None","None","None","2023-05-30 11:22:12.059178+02:00"
"256","35:31:31:39:6b:37:8a:0b","-infinity","infinity","0101000020E6100000044C428D2A6C1B4065D38C9AA61E4A40","6.855631072207874","52.239459341776445","None","RA3501","3","2023-06-13 14:26:36.722452+02:00"
